#Family	Phylo_groups	slope
Butomaceae	Other_monocots	1.97
Campynemataceae	Other_monocots	1.97
Colchicaceae	Other_monocots	1.97
Dioscoreaceae	Other_monocots	1.97
Doryanthaceae	Other_monocots	1.97
Hyacinthaceae	Other_monocots	1.97
Hydrocharitaceae	Other_monocots	1.97
Iridaceae	Other_monocots	1.97
Juncaginaceae	Other_monocots	1.97
Liliaceae	Other_monocots	1.97
Melanthiaceae	Other_monocots	1.97
Nartheciaceae	Other_monocots	1.97
Orchidaceae	Other_monocots	1.97
Posidoniaceae	Other_monocots	1.97
Potamogetonaceae	Other_monocots	1.97
Scheuchzeriaceae	Other_monocots	1.97
Tofieldiaceae	Other_monocots	1.97
Xeronemataceae	Other_monocots	1.97

